relays,payload,rtt
0,0,4935296
0,0,4983781
0,0,4950815
0,0,4936795
0,0,10012792
0,0,10005171
0,0,9980985
0,0,4896341
0,0,5016441
0,0,10013115
0,0,4995078
0,0,4963759
0,0,5005575
0,0,5027835
0,0,5032788
0,0,4974364
0,0,9997944
0,0,5005761
0,0,10002843
0,0,10001869
0,0,9916499
0,0,10008081
0,0,9952454
0,0,10052364
0,0,14893610
0,0,15074631
0,0,14960433
0,0,15020715
0,0,14971116
0,0,14981361
0,0,14993615
0,0,15016488
0,0,14984038
0,0,14994904
0,0,15011505
0,0,14977293
0,0,14980496
0,0,15030667
0,0,14889172
0,0,15078555
0,0,14998685
0,0,14982357
0,0,14972523
0,0,14984003
0,0,15013342
0,0,15045223
0,0,14923063
0,0,14956727
0,0,14998008
0,0,15165020
0,0,14871508
0,0,14996122
0,0,14909362
0,0,15061716
0,0,14997839
0,0,15012034
0,0,15003570
0,0,14974871
0,0,14980272
0,0,15046000
0,0,14961936
0,0,14970737
0,0,15000581
0,0,14979669
0,0,15060551
0,0,15021326
0,0,14974767
0,0,14957929
0,0,14991130
0,0,14980055
0,0,14987253
0,0,15013606
0,0,14982337
0,0,14987789
0,0,15009282
0,0,14919382
0,0,15069053
0,0,14986387
0,0,15002228
0,0,15005982
0,0,14963080
0,0,14961383
0,0,15000739
0,0,15032180
0,0,14991593
0,0,14962703
0,0,15019476
0,0,14979893
0,0,14949711
0,0,15052898
0,0,14997644
0,0,14994302
0,0,14972096
0,0,15011023
0,0,14979892
0,0,15005880
0,0,14994756
0,0,14978583
0,0,15037121
0,0,14981044
0,1,9968942
0,1,10050579
0,1,10042929
0,1,9853681
0,1,9997143
0,1,9982640
0,1,9965372
0,1,10062357
0,1,9932086
0,1,9993317
0,1,10000606
0,1,9991349
0,1,9973193
0,1,9996734
0,1,9997419
0,1,10011463
0,1,9985573
0,1,14994141
0,1,14992731
0,1,14935618
0,1,15001919
0,1,15002253
0,1,14993547
0,1,14954907
0,1,14997881
0,1,15037411
0,1,14993502
0,1,14941205
0,1,15044776
0,1,14915313
0,1,15054984
0,1,14998434
0,1,15063586
0,1,14857684
0,1,15075353
0,1,14910095
0,1,15040654
0,1,15002474
0,1,14997544
0,1,14981152
0,1,15033139
0,1,14944949
0,1,15044754
0,1,14949068
0,1,14998225
0,1,14981829
0,1,15034961
0,1,14950432
0,1,14971929
0,1,15041144
0,1,14943610
0,1,15022050
0,1,14980467
0,1,15020122
0,1,15034373
0,1,14959818
0,1,15025001
0,1,14970608
0,1,14979464
0,1,15002171
0,1,15005101
0,1,15010379
0,1,14975180
0,1,14955503
0,1,15036938
0,1,14940976
0,1,14990909
0,1,14980372
0,1,15014724
0,1,14994068
0,1,15031148
0,1,14989006
0,1,14928772
0,1,14984953
0,1,15051616
0,1,14971579
0,1,15010015
0,1,15013460
0,1,14964716
0,1,14966279
0,1,15033637
0,1,14943959
0,1,14998227
0,1,15041763
0,1,15021093
0,1,14962968
0,1,14978716
0,1,15060694
0,1,14917061
0,1,15001202
0,1,15064492
0,1,14922417
0,1,15043160
0,1,14965545
0,1,15034640
0,1,14945147
0,1,15050638
0,1,14954733
0,1,14994614
0,1,14999245
0,10,9888766
0,10,9865985
0,10,10101310
0,10,9886789
0,10,9985808
0,10,10049369
0,10,9916554
0,10,9998924
0,10,9981274
0,10,9905970
0,10,10032426
0,10,9987169
0,10,10030810
0,10,9991607
0,10,10000510
0,10,10030797
0,10,9892897
0,10,9996375
0,10,15040345
0,10,14995892
0,10,14971160
0,10,14953382
0,10,15018185
0,10,15050497
0,10,14938789
0,10,14981663
0,10,15001194
0,10,14963916
0,10,15035982
0,10,15051733
0,10,14955959
0,10,15003156
0,10,14989898
0,10,14976443
0,10,14993689
0,10,14995916
0,10,14991608
0,10,14973617
0,10,14965298
0,10,15025692
0,10,15025762
0,10,14953328
0,10,14997876
0,10,15068170
0,10,14910156
0,10,15034125
0,10,14934144
0,10,15038965
0,10,14984672
0,10,14967040
0,10,15010842
0,10,15023391
0,10,14985479
0,10,15005447
0,10,14944995
0,10,15031898
0,10,15012869
0,10,14980487
0,10,14998799
0,10,14964409
0,10,15008301
0,10,14992178
0,10,14950671
0,10,15096823
0,10,14947734
0,10,14978693
0,10,14985469
0,10,14996788
0,10,14978444
0,10,15021602
0,10,14966421
0,10,15005456
0,10,14985381
0,10,14995880
0,10,14961647
0,10,15053532
0,10,14966946
0,10,15002429
0,10,15021563
0,10,14988428
0,10,14966319
0,10,15006661
0,10,15008045
0,10,14956106
0,10,15002409
0,10,14986732
0,10,14984858
0,10,15043469
0,10,14954468
0,10,14994288
0,10,14934821
0,10,15051044
0,10,14998537
0,10,14978530
0,10,15006512
0,10,14943031
0,10,15013455
0,10,15056274
0,10,14952840
0,10,14994333
0,100,1854576
0,100,4832339
0,100,5071118
0,100,4973837
0,100,7959583
0,100,9976684
0,100,9940937
0,100,10034033
0,100,10005479
0,100,10018629
0,100,9956669
0,100,10043762
0,100,9906484
0,100,10040851
0,100,9973761
0,100,9992669
0,100,9987020
0,100,9969789
0,100,9945791
0,100,10016419
0,100,15045912
0,100,15026218
0,100,14952852
0,100,14948960
0,100,15068207
0,100,14955656
0,100,14994497
0,100,14945093
0,100,15074278
0,100,14959429
0,100,14988271
0,100,14998931
0,100,14997019
0,100,14984405
0,100,15001244
0,100,14961808
0,100,15084344
0,100,14924143
0,100,15030686
0,100,14955963
0,100,15048718
0,100,14933634
0,100,15013053
0,100,14987819
0,100,15027978
0,100,14895568
0,100,15069234
0,100,14952861
0,100,15027915
0,100,14982481
0,100,14996464
0,100,14988188
0,100,15074703
0,100,14912534
0,100,15084368
0,100,14915898
0,100,14945974
0,100,15065035
0,100,14989591
0,100,14967734
0,100,15017546
0,100,14973080
0,100,14996112
0,100,15016103
0,100,14976250
0,100,14954750
0,100,15028209
0,100,14960756
0,100,14990892
0,100,15104164
0,100,14906886
0,100,14976153
0,100,14981996
0,100,14982887
0,100,15018339
0,100,14991767
0,100,15006042
0,100,14969772
0,100,15020381
0,100,14918335
0,100,15058514
0,100,14975364
0,100,15003847
0,100,15001443
0,100,15011541
0,100,14921900
0,100,15042774
0,100,14953870
0,100,15027403
0,100,14978707
0,100,15023031
0,100,14934284
0,100,15020839
0,100,15089671
0,100,14906717
0,100,14968666
0,100,15028719
0,100,14999698
0,100,14972557
0,100,15036975
0,1000,9989320
0,1000,9942526
0,1000,9966498
0,1000,9975691
0,1000,9910765
0,1000,10015479
0,1000,10013290
0,1000,9992441
0,1000,9953427
0,1000,9935746
0,1000,10039460
0,1000,9989360
0,1000,9963748
0,1000,9970500
0,1000,9992456
0,1000,10020775
0,1000,9953082
0,1000,10102309
0,1000,9919386
0,1000,14944884
0,1000,15006301
0,1000,14940931
0,1000,15085869
0,1000,14946549
0,1000,15043437
0,1000,14941422
0,1000,15006628
0,1000,15008652
0,1000,14949803
0,1000,15032495
0,1000,14986661
0,1000,14999388
0,1000,14961320
0,1000,15040011
0,1000,14968661
0,1000,14978666
0,1000,15001994
0,1000,14977391
0,1000,14985985
0,1000,14949419
0,1000,15104365
0,1000,14894979
0,1000,15007771
0,1000,15003829
0,1000,15034711
0,1000,14936987
0,1000,14972761
0,1000,15057266
0,1000,14973725
0,1000,14951284
0,1000,15044126
0,1000,14957328
0,1000,15036044
0,1000,14970984
0,1000,15024331
0,1000,14960336
0,1000,15014690
0,1000,14967656
0,1000,15036254
0,1000,14971540
0,1000,15010997
0,1000,14959157
0,1000,15021735
0,1000,15005218
0,1000,14964345
0,1000,15015098
0,1000,14987707
0,1000,14943513
0,1000,15027996
0,1000,14986083
0,1000,15054466
0,1000,14911564
0,1000,15059564
0,1000,14975640
0,1000,14978783
0,1000,14984494
0,1000,15028973
0,1000,14921413
0,1000,15060743
0,1000,14989903
0,1000,15001121
0,1000,14931658
0,1000,15032917
0,1000,14938973
0,1000,15062598
0,1000,14962423
0,1000,14993450
0,1000,14980454
0,1000,14983523
0,1000,15011452
0,1000,15042547
0,1000,14921437
0,1000,14995333
0,1000,15029193
0,1000,14943047
0,1000,15036648
0,1000,14970769
0,1000,14998201
0,1000,14993993
0,1000,14978786
0,10000,8645407
0,10000,4981654
0,10000,4844021
0,10000,6301171
0,10000,5102655
0,10000,4907538
0,10000,4993717
0,10000,4987802
0,10000,4996457
0,10000,4959402
0,10000,5044160
0,10000,4951157
0,10000,4935640
0,10000,5054894
0,10000,4947616
0,10000,4973221
0,10000,5022283
0,10000,10060107
0,10000,10022041
0,10000,9906235
0,10000,9974275
0,10000,10017287
0,10000,9992967
0,10000,9921761
0,10000,10002498
0,10000,10029303
0,10000,9921809
0,10000,10018202
0,10000,9955598
0,10000,10065965
0,10000,9987152
0,10000,10032328
0,10000,9943399
0,10000,10042926
0,10000,9918503
0,10000,10016953
0,10000,9973981
0,10000,10003112
