relays,payload,rtt
0,0,3721000
0,0,2553000
0,0,2627000
0,0,11543000
0,0,9908000
0,0,9678000
0,0,8773000
0,0,9840000
0,0,11285000
0,0,8799000
0,0,10024000
0,0,9871000
0,0,9963000
0,0,10079000
0,0,9992000
0,0,10041000
0,0,9743000
0,0,10156000
0,0,9474000
0,0,10883000
0,0,9926000
0,0,9976000
0,0,9927000
0,0,15025000
0,0,9333000
0,0,19655000
0,0,14931000
0,0,15121000
0,0,11104000
0,0,15014000
0,0,9884000
0,0,12774000
0,0,20051000
0,0,19932000
0,0,19942000
0,0,19957000
0,0,19962000
0,0,14947000
0,0,15994000
0,0,19036000
0,0,15000000
0,0,14934000
0,0,14960000
0,0,15019000
0,0,14979000
0,0,14950000
0,0,14988000
0,0,15023000
0,0,14948000
0,0,15031000
0,0,14996000
0,0,15003000
0,0,14906000
0,0,15025000
0,0,14978000
0,0,15045000
0,0,14944000
0,0,15017000
0,0,14911000
0,0,15067000
0,0,14943000
0,0,15023000
0,0,14926000
0,0,15013000
0,0,14980000
0,0,15998000
0,0,19034000
0,0,14895000
0,0,15041000
0,0,14917000
0,0,16796000
0,0,18194000
0,0,14977000
0,0,15035000
0,0,14934000
0,0,15008000
0,0,14976000
0,0,14968000
0,0,14989000
0,0,14990000
0,0,14966000
0,0,15081000
0,0,14907000
0,0,14968000
0,0,15048000
0,0,15968000
0,0,18982000
0,0,14937000
0,0,15013000
0,0,14977000
0,0,14980000
0,0,14965000
0,0,15067000
0,0,14934000
0,0,15000000
0,0,14932000
0,0,15016000
0,0,14983000
0,0,14974000
0,0,15004000
0,1,19322000
0,1,19975000
0,1,19997000
0,1,20020000
0,1,19968000
0,1,19953000
0,1,19960000
0,1,19957000
0,1,20039000
0,1,19999000
0,1,19962000
0,1,19902000
0,1,20090000
0,1,19872000
0,1,20012000
0,1,20019000
0,1,20036000
0,1,20003000
0,1,19955000
0,1,19938000
0,1,20044000
0,1,19926000
0,1,20097000
0,1,14936000
0,1,16903000
0,1,19971000
0,1,19968000
0,1,19976000
0,1,19991000
0,1,19983000
0,1,20057000
0,1,19910000
0,1,20020000
0,1,19996000
0,1,19919000
0,1,19988000
0,1,20085000
0,1,19943000
0,1,19942000
0,1,20031000
0,1,19924000
0,1,19960000
0,1,20043000
0,1,19995000
0,1,19981000
0,1,19985000
0,1,22709000
0,1,17227000
0,1,19983000
0,1,20020000
0,1,19936000
0,1,20050000
0,1,19938000
0,1,20003000
0,1,19974000
0,1,19980000
0,1,22898000
0,1,17078000
0,1,19946000
0,1,20061000
0,1,19922000
0,1,20081000
0,1,19951000
0,1,19968000
0,1,19951000
0,1,20001000
0,1,20019000
0,1,19961000
0,1,20105000
0,1,19842000
0,1,19974000
0,1,22912000
0,1,17069000
0,1,20072000
0,1,19900000
0,1,20020000
0,1,19953000
0,1,19977000
0,1,19947000
0,1,20054000
0,1,19917000
0,1,19973000
0,1,19994000
0,1,19986000
0,1,19992000
0,1,19973000
0,1,20051000
0,1,19932000
0,1,20025000
0,1,19976000
0,1,19956000
0,1,20008000
0,1,19958000
0,1,19981000
0,1,20011000
0,1,19979000
0,1,19987000
0,1,19948000
0,1,19997000
0,1,19994000
0,10,14400000
0,10,19894000
0,10,19877000
0,10,15032000
0,10,15033000
0,10,14962000
0,10,14972000
0,10,15105000
0,10,14936000
0,10,14983000
0,10,14967000
0,10,14968000
0,10,14998000
0,10,15037000
0,10,14941000
0,10,14883000
0,10,15154000
0,10,14957000
0,10,14862000
0,10,15035000
0,10,15006000
0,10,15021000
0,10,14936000
0,10,15144000
0,10,14884000
0,10,15023000
0,10,14933000
0,10,14972000
0,10,14856000
0,10,15048000
0,10,14947000
0,10,15084000
0,10,14937000
0,10,15024000
0,10,15034000
0,10,15026000
0,10,14854000
0,10,15004000
0,10,14960000
0,10,15114000
0,10,14920000
0,10,15052000
0,10,14836000
0,10,15159000
0,10,14955000
0,10,14841000
0,10,15027000
0,10,15025000
0,10,14949000
0,10,14980000
0,10,14953000
0,10,15010000
0,10,15074000
0,10,14959000
0,10,14946000
0,10,15006000
0,10,15082000
0,10,14820000
0,10,14872000
0,10,15141000
0,10,14951000
0,10,14920000
0,10,15081000
0,10,14995000
0,10,15058000
0,10,14906000
0,10,14943000
0,10,14973000
0,10,14955000
0,10,15088000
0,10,14931000
0,10,15049000
0,10,14917000
0,10,14958000
0,10,15047000
0,10,15014000
0,10,14902000
0,10,15117000
0,10,14910000
0,10,14952000
0,10,15057000
0,10,14958000
0,10,14913000
0,10,15030000
0,10,14928000
0,10,15051000
0,10,14875000
0,10,15043000
0,10,15023000
0,10,15006000
0,10,14921000
0,10,15028000
0,10,14980000
0,10,14973000
0,10,14984000
0,10,15032000
0,10,14925000
0,10,14900000
0,10,14996000
0,10,15081000
0,100,16349000
0,100,15363000
0,100,15039000
0,100,14904000
0,100,14931000
0,100,15158000
0,100,17825000
0,100,17043000
0,100,14971000
0,100,17891000
0,100,14941000
0,100,15055000
0,100,19912000
0,100,14998000
0,100,15005000
0,100,14919000
0,100,15010000
0,100,15001000
0,100,15040000
0,100,14891000
0,100,15061000
0,100,14906000
0,100,15023000
0,100,14975000
0,100,14989000
0,100,14951000
0,100,15006000
0,100,14976000
0,100,15041000
0,100,14937000
0,100,15006000
0,100,14970000
0,100,15031000
0,100,14953000
0,100,14976000
0,100,15029000
0,100,14912000
0,100,15003000
0,100,15039000
0,100,14910000
0,100,15016000
0,100,14977000
0,100,14995000
0,100,14969000
0,100,15012000
0,100,15003000
0,100,14929000
0,100,15059000
0,100,14926000
0,100,15014000
0,100,14992000
0,100,14953000
0,100,15025000
0,100,14979000
0,100,14967000
0,100,14998000
0,100,14950000
0,100,14977000
0,100,15004000
0,100,14986000
0,100,15011000
0,100,14954000
0,100,14995000
0,100,14959000
0,100,15010000
0,100,14958000
0,100,14980000
0,100,14982000
0,100,15003000
0,100,15013000
0,100,15015000
0,100,14927000
0,100,15011000
0,100,14952000
0,100,15059000
0,100,14948000
0,100,15044000
0,100,14974000
0,100,14966000
0,100,14961000
0,100,14970000
0,100,14959000
0,100,15017000
0,100,14975000
0,100,14994000
0,100,14965000
0,100,15041000
0,100,14952000
0,100,15014000
0,100,14910000
0,100,15037000
0,100,14952000
0,100,14970000
0,100,15014000
0,100,14988000
0,100,14974000
0,100,15065000
0,100,14881000
0,100,15018000
0,100,14966000
0,1000,15380000
0,1000,15335000
0,1000,14986000
0,1000,15030000
0,1000,14993000
0,1000,15015000
0,1000,10060000
0,1000,9975000
0,1000,15582000
0,1000,9498000
0,1000,14160000
0,1000,15838000
0,1000,9954000
0,1000,9906000
0,1000,14202000
0,1000,14445000
0,1000,16460000
0,1000,13451000
0,1000,15009000
0,1000,14942000
0,1000,15037000
0,1000,14937000
0,1000,15018000
0,1000,14946000
0,1000,15016000
0,1000,14931000
0,1000,15084000
0,1000,14902000
0,1000,14979000
0,1000,14978000
0,1000,15028000
0,1000,14948000
0,1000,15002000
0,1000,14939000
0,1000,15076000
0,1000,14905000
0,1000,14996000
0,1000,14992000
