relays,payload,rtt
0,0,10299000
0,0,14881000
0,0,15107000
0,0,14722000
0,0,15096000
0,0,14904000
0,0,15357000
0,0,15014000
0,0,14651000
0,0,15505000
0,0,14991000
0,0,14517000
0,0,15484000
0,0,14931000
0,0,14570000
0,0,14971000
0,0,14896000
0,0,15641000
0,0,14557000
0,0,14931000
0,0,15047000
0,0,15042000
0,0,15417000
0,0,14570000
0,0,14763000
0,0,15034000
0,0,15502000
0,0,14670000
0,0,14955000
0,0,14873000
0,0,15228000
0,0,15022000
0,0,14815000
0,0,14884000
0,0,15242000
0,0,14861000
0,0,15013000
0,0,14917000
0,0,15140000
0,0,15009000
0,0,14903000
0,0,14888000
0,0,15180000
0,0,14878000
0,0,15501000
0,0,14446000
0,0,15043000
0,0,14987000
0,0,15037000
0,0,15007000
0,0,14906000
0,0,14999000
0,0,14944000
0,0,15258000
0,0,14798000
0,0,15467000
0,0,14557000
0,0,14915000
0,0,15090000
0,0,15107000
0,0,14969000
0,0,15027000
0,0,14757000
0,0,15543000
0,0,14525000
0,0,15595000
0,0,14724000
0,0,14936000
0,0,15225000
0,0,14560000
0,0,15056000
0,0,15501000
0,0,14341000
0,0,15101000
0,0,15048000
0,0,14839000
0,0,14973000
0,0,15152000
0,0,15129000
0,0,14785000
0,0,15406000
0,0,14717000
0,0,14888000
0,0,15023000
0,0,15029000
0,0,15016000
0,0,15059000
0,0,15066000
0,0,14734000
0,0,15038000
0,0,14941000
0,0,15260000
0,0,15272000
0,0,14510000
0,0,15304000
0,0,14764000
0,0,14881000
0,0,15023000
0,0,15092000
0,0,14905000
0,1,15084000
0,1,15184000
0,1,19756000
0,1,20105000
0,1,19852000
0,1,20415000
0,1,19883000
0,1,19911000
0,1,19744000
0,1,15307000
0,1,19985000
0,1,19975000
0,1,15063000
0,1,19786000
0,1,19915000
0,1,20159000
0,1,20028000
0,1,19743000
0,1,20011000
0,1,20100000
0,1,19900000
0,1,20066000
0,1,14939000
0,1,15497000
0,1,14556000
0,1,20079000
0,1,20027000
0,1,14866000
0,1,10325000
0,1,19815000
0,1,19791000
0,1,20066000
0,1,19985000
0,1,19935000
0,1,15030000
0,1,15336000
0,1,19724000
0,1,14927000
0,1,19964000
0,1,20032000
0,1,10526000
0,1,15093000
0,1,19494000
0,1,20040000
0,1,14963000
0,1,20124000
0,1,14955000
0,1,14848000
0,1,14952000
0,1,20159000
0,1,15291000
0,1,14643000
0,1,15079000
0,1,14755000
0,1,20042000
0,1,19990000
0,1,15027000
0,1,19975000
0,1,19957000
0,1,15161000
0,1,14849000
0,1,14941000
0,1,20311000
0,1,19675000
0,1,20392000
0,1,19672000
0,1,15015000
0,1,20138000
0,1,19897000
0,1,20060000
0,1,20004000
0,1,20101000
0,1,14774000
0,1,15002000
0,1,15313000
0,1,20206000
0,1,19544000
0,1,20344000
0,1,14532000
0,1,15006000
0,1,10401000
0,1,14722000
0,1,15319000
0,1,14542000
0,1,14930000
0,1,20045000
0,1,15870000
0,1,19319000
0,1,19882000
0,1,15097000
0,1,15306000
0,1,14548000
0,1,20056000
0,1,15142000
0,1,19939000
0,1,15070000
0,1,20072000
0,1,20032000
0,1,19689000
0,1,20150000
0,10,14541000
0,10,14949000
0,10,15249000
0,10,14844000
0,10,14981000
0,10,15092000
0,10,15174000
0,10,14661000
0,10,15248000
0,10,15275000
0,10,14439000
0,10,15325000
0,10,14753000
0,10,15150000
0,10,14858000
0,10,15108000
0,10,15120000
0,10,14920000
0,10,14793000
0,10,15003000
0,10,14997000
0,10,15140000
0,10,14897000
0,10,14993000
0,10,14952000
0,10,15179000
0,10,14961000
0,10,14825000
0,10,15095000
0,10,15101000
0,10,15286000
0,10,14518000
0,10,15040000
0,10,14995000
0,10,15030000
0,10,15427000
0,10,14542000
0,10,14945000
0,10,15233000
0,10,15439000
0,10,14359000
0,10,15551000
0,10,14406000
0,10,15149000
0,10,14794000
0,10,15010000
0,10,14973000
0,10,15123000
0,10,14874000
0,10,15128000
0,10,15099000
0,10,15307000
0,10,14477000
0,10,15477000
0,10,14668000
0,10,14906000
0,10,14981000
0,10,15183000
0,10,14860000
0,10,14906000
0,10,14981000
0,10,15006000
0,10,15142000
0,10,14919000
0,10,14991000
0,10,15117000
0,10,14810000
0,10,15409000
0,10,14815000
0,10,14812000
0,10,14979000
0,10,15023000
0,10,15015000
0,10,15200000
0,10,15411000
0,10,14664000
0,10,14720000
0,10,15057000
0,10,15349000
0,10,14604000
0,10,15317000
0,10,14630000
0,10,15232000
0,10,14684000
0,10,15078000
0,10,15338000
0,10,14572000
0,10,15611000
0,10,14458000
0,10,14938000
0,10,14987000
0,10,15104000
0,10,14966000
0,10,15004000
0,10,15042000
0,10,14903000
0,10,15119000
0,10,14868000
0,10,15185000
0,10,15321000
0,100,11912000
0,100,13046000
0,100,15096000
0,100,15178000
0,100,14825000
0,100,14883000
0,100,15155000
0,100,15018000
0,100,14778000
0,100,15283000
0,100,14942000
0,100,14741000
0,100,15017000
0,100,15078000
0,100,15569000
0,100,14544000
0,100,14971000
0,100,15444000
0,100,14406000
0,100,15452000
0,100,14766000
0,100,14954000
0,100,14784000
0,100,14879000
0,100,15205000
0,100,14805000
0,100,15022000
0,100,14944000
0,100,15258000
0,100,14831000
0,100,15005000
0,100,14954000
0,100,15055000
0,100,15506000
0,100,14898000
0,100,14463000
0,100,15099000
0,100,14944000
0,100,15026000
0,100,15014000
0,100,14992000
0,100,15027000
0,100,15066000
0,100,15082000
0,100,14758000
0,100,14988000
0,100,15630000
0,100,14547000
0,100,14961000
0,100,14858000
0,100,15006000
0,100,15204000
0,100,14811000
0,100,15363000
0,100,14677000
0,100,14903000
0,100,15483000
0,100,14477000
0,100,15509000
0,100,14572000
0,100,15034000
0,100,14977000
0,100,14889000
0,100,15117000
0,100,14993000
0,100,15007000
0,100,15078000
0,100,14865000
0,100,15133000
0,100,15326000
0,100,14470000
0,100,15086000
0,100,15096000
0,100,14845000
0,100,15116000
0,100,14915000
0,100,15089000
0,100,14907000
0,100,14969000
0,100,14968000
0,100,15882000
0,100,14258000
0,100,14968000
0,100,14914000
0,100,15809000
0,100,14470000
0,100,14756000
0,100,14964000
0,100,15017000
0,100,15112000
0,100,15230000
0,100,14894000
0,100,15208000
0,100,14878000
0,100,14583000
0,100,15016000
0,100,14992000
0,100,15114000
0,100,14824000
0,100,15175000
0,1000,10261000
0,1000,14442000
0,1000,14959000
0,1000,15026000
0,1000,15192000
0,1000,14747000
0,1000,15246000
0,1000,14690000
0,1000,15130000
0,1000,10336000
0,1000,14524000
0,1000,15101000
0,1000,14961000
0,1000,15039000
0,1000,14995000
0,1000,14952000
0,1000,15018000
0,1000,14930000
0,1000,15355000
0,1000,14886000
0,1000,14735000
0,1000,15323000
0,1000,19765000
0,1000,14895000
0,1000,15155000
0,1000,20319000
0,1000,14541000
0,1000,15250000
0,1000,10267000
0,1000,19444000
0,1000,15060000
0,1000,14967000
0,1000,20026000
0,1000,15033000
0,1000,14978000
0,1000,14958000
0,1000,14997000
0,1000,14967000
0,1000,15111000
0,1000,20065000
0,1000,14956000
0,1000,14943000
0,1000,15271000
0,1000,14731000
0,1000,20161000
0,1000,14733000
0,1000,15784000
0,1000,14515000
0,1000,14776000
0,1000,15039000
0,1000,14938000
0,1000,15502000
0,1000,14519000
0,1000,14942000
0,1000,15252000
0,1000,14846000
0,1000,15903000
0,1000,13970000
0,1000,15140000
0,1000,14897000
0,1000,14899000
0,1000,15159000
0,1000,14976000
0,1000,15405000
0,1000,19594000
0,1000,15461000
0,1000,19889000
0,1000,19800000
0,1000,14863000
0,1000,15019000
0,1000,14850000
0,1000,15350000
0,1000,10186000
0,1000,14876000
0,1000,15313000
0,1000,19290000
0,1000,15221000
0,1000,14905000
0,1000,19951000
0,1000,15316000
0,1000,19714000
0,1000,15035000
0,1000,14800000
0,1000,15051000
0,1000,20086000
0,1000,19940000
0,1000,15122000
0,1000,14815000
0,1000,20000000
0,1000,14948000
0,1000,15351000
0,1000,14711000
0,1000,14983000
0,1000,10492000
0,1000,19607000
0,1000,14865000
0,1000,15148000
0,1000,14876000
0,1000,14953000
0,1000,15610000
0,10000,10582000
0,10000,14485000
0,10000,14928000
0,10000,15029000
0,10000,15408000
0,10000,14427000
0,10000,15215000
0,10000,14797000
