relays,payload,rtt
0,0,2048070
0,0,4949386
0,0,12778941
0,0,9917648
0,0,9987126
0,0,14940184
0,0,15108134
0,0,14943707
0,0,14996173
0,0,15000653
0,0,15064498
0,0,14882767
0,0,15023926
0,0,15012813
0,0,15080393
0,0,14911444
0,0,15056614
0,0,14910834
0,0,14950062
0,0,15138025
0,0,14982249
0,0,14921946
0,0,15020711
0,0,14970876
0,0,15063110
0,0,15021273
0,0,15014853
0,0,14882820
0,0,15065657
0,0,15023679
0,0,14969870
0,0,14918402
0,0,15037925
0,0,14961447
0,0,15026618
0,0,15059689
0,0,14928034
0,0,15044760
0,0,14950768
0,0,14966277
0,0,14972803
0,0,15103666
0,0,14881271
0,0,15030127
0,0,15067404
0,0,14921830
0,0,15029215
0,0,14957818
0,0,15074014
0,0,14933076
0,0,15013809
0,0,15025227
0,0,14972241
0,0,15055783
0,0,14979672
0,0,14919188
0,0,14977791
0,0,15045321
0,0,15049869
0,0,14917070
0,0,15032520
0,0,14958722
0,0,15039125
0,0,14958865
0,0,14965418
0,0,15029107
0,0,15027286
0,0,14975997
0,0,15054817
0,0,14920497
0,0,15075386
0,0,14922142
0,0,15024803
0,0,15035749
0,0,14957427
0,0,15038673
0,0,14926991
0,0,14985657
0,0,14985024
0,0,15020791
0,0,15019103
0,0,14978808
0,0,15052259
0,0,14926677
0,0,15077297
0,0,14918704
0,0,15033541
0,0,15060336
0,0,14974841
0,0,15018466
0,0,14944363
0,0,14927153
0,0,15059544
0,0,14956684
0,0,15075483
0,0,15000969
0,0,14992502
0,0,15018785
0,0,15006258
0,0,14880799
0,1,15009581
0,1,14828973
0,1,15005662
0,1,15004990
0,1,14986654
0,1,15080126
0,1,14990160
0,1,14948198
0,1,14969822
0,1,14954254
0,1,15038364
0,1,15066469
0,1,15005688
0,1,14976578
0,1,14948443
0,1,15045763
0,1,14940387
0,1,14999987
0,1,14937748
0,1,15088386
0,1,15009450
0,1,14954301
0,1,14937948
0,1,15057200
0,1,15061650
0,1,14931957
0,1,14986930
0,1,15052635
0,1,15023599
0,1,14890300
0,1,15027554
0,1,15040438
0,1,14899387
0,1,14993995
0,1,15058729
0,1,15008622
0,1,14957083
0,1,15075170
0,1,14995200
0,1,14942501
0,1,15044878
0,1,14956924
0,1,14986990
0,1,14979682
0,1,14991980
0,1,15025433
0,1,14943306
0,1,15115481
0,1,15001742
0,1,15003888
0,1,14916026
0,1,15042388
0,1,14979861
0,1,14921744
0,1,15040869
0,1,15053793
0,1,14919117
0,1,15047775
0,1,14946387
