relays,payload,messages
0,0,0
0,0,145289
0,0,139420
0,0,161772
0,0,165102
0,0,167092
0,0,172160
0,0,164231
0,0,163216
0,0,150617
0,0,157631
0,0,153083
0,0,155569
0,0,157928
0,0,158771
0,0,165512
0,1,0
0,1,139616
0,1,132611
0,1,129893
0,1,127352
0,1,135261
0,1,145015
0,1,138079
0,1,145936
0,1,143961
0,1,142863
0,1,134205
0,1,134851
0,1,135102
0,1,136384
0,1,138712
0,10,0
0,10,147445
0,10,148079
0,10,143673
0,10,147788
0,10,148373
0,10,146601
0,10,145590
0,10,150147
0,10,145820
0,10,149882
0,10,147937
0,10,141703
0,10,148447
0,10,146338
0,10,143781
0,100,0
0,100,48605
0,100,48776
0,100,48848
0,100,49112
0,100,49308
0,100,49349
0,100,49312
0,100,48887
0,100,49151
0,100,49089
0,100,48903
0,100,48616
0,100,48872
0,100,49043
0,100,48738
0,1000,0
0,1000,6431
0,1000,6562
0,1000,6550
0,1000,6563
0,1000,6789
0,1000,6868
0,1000,6894
0,1000,6865
0,1000,6859
0,1000,6864
0,1000,6859
0,1000,6848
0,1000,6860
0,1000,6860
0,1000,6870
0,10000,0
0,10000,688
0,10000,694
0,10000,700
0,10000,700
0,10000,703
0,10000,693
0,10000,701
0,10000,710
0,10000,701
0,10000,697
0,10000,694
0,10000,697
0,10000,703
0,10000,708
0,10000,701
0,100000,0
0,100000,70
0,100000,71
0,100000,72
0,100000,72
0,100000,71
0,100000,72
0,100000,71
0,100000,71
0,100000,72
0,100000,71
0,100000,71
0,100000,72
0,100000,71
0,100000,72
0,100000,71
0,1000000,0
0,1000000,7
0,1000000,7
0,1000000,7
0,1000000,7
0,1000000,7
0,1000000,7
0,1000000,8
0,1000000,7
0,1000000,7
0,1000000,7
0,1000000,7
0,1000000,7
0,1000000,8
0,1000000,7
0,1000000,7
1,0,0
1,0,0
1,0,103424
1,0,93936
1,0,102865
1,0,104640
1,0,100410
1,0,103095
1,0,103227
1,0,99693
1,0,98317
1,0,101574
1,0,105007
1,0,101277
1,0,109511
1,0,104835
1,0,99939
1,1,0
1,1,0
1,1,99628
1,1,104875
1,1,98670
1,1,94659
1,1,104152
1,1,101646
1,1,101051
1,1,99142
1,1,105317
1,1,102834
1,1,98260
1,1,108723
1,1,117344
1,1,115462
1,1,104078
1,10,0
1,10,0
1,10,94784
1,10,94079
1,10,98793
1,10,92769
1,10,94349
1,10,99001
1,10,96643
1,10,93230
1,10,91776
1,10,95745
1,10,94579
1,10,101591
1,10,102888
1,10,100062
1,10,97860
1,100,0
1,100,0
1,100,48190
1,100,50146
1,100,49949
1,100,49984
1,100,49125
1,100,49453
1,100,49525
1,100,49630
1,100,49875
1,100,50191
1,100,49859
1,100,49889
1,100,49893
1,100,51018
1,100,49549
1,1000,0
1,1000,0
1,1000,6392
1,1000,6532
1,1000,6537
1,1000,6547
1,1000,6534
1,1000,6556
1,1000,6544
1,1000,6541
