relays,payload,messages
0,0,50
0,0,362419
0,0,355925
0,0,399370
0,0,324358
0,0,363549
0,0,374107
0,0,319501
0,0,291932
0,0,360104
0,0,335371
0,0,320852
0,0,374792
0,0,400250
0,0,380337
0,1,0
0,1,339668
0,1,357877
0,1,276514
0,1,357439
0,1,375412
0,1,382596
0,1,336148
0,1,361651
0,1,329451
0,1,323568
0,1,363609
0,1,345669
0,1,288490
0,1,376869
0,10,0
0,10,350048
0,10,380193
0,10,382775
0,10,360849
0,10,351987
0,10,320845
0,10,326928
0,10,353952
0,10,285653
0,10,371535
0,10,383190
0,10,320553
0,10,330160
0,10,306737
0,100,0
0,100,158486
0,100,126412
0,100,142310
0,100,159461
0,100,132499
0,100,172279
0,100,174368
0,100,138039
0,100,144579
0,100,137419
0,100,163185
0,100,173686
0,100,139742
0,100,165699
0,1000,0
0,1000,20447
0,1000,18543
0,1000,18176
0,1000,18380
0,1000,19139
0,1000,16474
0,1000,19858
0,1000,16952
0,1000,18697
0,1000,16632
0,1000,17761
0,1000,16530
0,1000,18060
0,1000,16881
0,10000,0
0,10000,1953
0,10000,1919
0,10000,1848
0,10000,1948
0,10000,1786
0,10000,1848
0,10000,1981
0,10000,1975
0,10000,2155
0,10000,1814
0,10000,1890
0,10000,1904
0,10000,1938
0,10000,1886
0,100000,0
0,100000,193
0,100000,188
0,100000,196
0,100000,189
0,100000,199
0,100000,220
0,100000,181
0,100000,209
0,100000,191
0,100000,199
0,100000,181
0,100000,204
0,100000,199
0,100000,193
0,1000000,0
0,1000000,24
0,1000000,24
0,1000000,25
0,1000000,25
0,1000000,25
0,1000000,25
0,1000000,24
0,1000000,25
0,1000000,25
0,1000000,25
0,1000000,25
0,1000000,24
0,1000000,25
0,1000000,25
0,10000000,0
0,10000000,2
0,10000000,2
0,10000000,3
0,10000000,2
0,10000000,3
0,10000000,2
0,10000000,3
0,10000000,2
0,10000000,3
0,10000000,2
0,10000000,3
0,10000000,2
0,10000000,3
0,10000000,2
1,0,0
1,0,0
1,0,231824
1,0,282756
1,0,271382
1,0,246351
1,0,241933
1,0,248904
1,0,271669
1,0,268620
1,0,277541
1,0,272124
1,0,269650
1,0,263346
1,0,265559
1,0,262145
1,1,0
1,1,0
1,1,203351
1,1,266977
1,1,247188
1,1,246784
1,1,255654
1,1,256078
1,1,258123
1,1,262658
1,1,255135
1,1,271046
1,1,263198
1,1,258172
1,1,255497
1,1,239057
1,10,0
1,10,0
1,10,245409
1,10,236423
1,10,250894
1,10,253711
1,10,244175
1,10,229165
1,10,257395
1,10,266551
1,10,242392
1,10,240728
1,10,240878
1,10,242523
1,10,230217
1,10,239074
1,100,0
1,100,0
1,100,137258
1,100,145965
1,100,145426
1,100,143195
1,100,144645
1,100,144970
1,100,145837
1,100,145360
1,100,145804
1,100,115535
1,100,142315
1,100,101505
1,100,110323
1,100,139203
1,1000,0
1,1000,0
1,1000,17697
1,1000,17850
1,1000,14893
1,1000,15934
1,1000,14388
1,1000,14975
1,1000,18300
1,1000,19555
1,1000,18181
1,1000,16415
1,1000,18116
1,1000,14821
