relays,payload,messages
0,0,0
0,0,367204
0,0,384606
0,0,380989
0,0,392143
0,0,381308
0,0,392658
0,0,384377
0,0,382319
0,0,375585
0,0,373920
0,0,360930
0,0,369590
0,0,387286
0,0,355709
0,0,370683
0,1,0
0,1,363918
0,1,374610
0,1,366730
0,1,369343
0,1,383353
0,1,396823
0,1,376840
0,1,367418
0,1,357631
0,1,397493
0,1,385758
0,1,377101
0,1,370447
0,1,383276
0,1,371122
0,10,0
0,10,309899
0,10,317765
0,10,309459
0,10,316690
0,10,315145
0,10,315959
0,10,310246
0,10,313646
0,10,317531
0,10,308619
0,10,319216
0,10,312371
0,10,312606
0,10,314018
0,10,308716
0,100,0
0,100,107344
0,100,109234
0,100,108805
0,100,109821
0,100,109487
0,100,108863
0,100,110107
0,100,106154
0,100,109923
0,100,108707
0,100,108703
0,100,108900
0,100,110066
0,100,109366
0,100,106916
0,1000,0
0,1000,12402
0,1000,12688
0,1000,12620
0,1000,12621
0,1000,12631
0,1000,12628
0,1000,12614
0,1000,12638
0,1000,12633
0,1000,12614
0,1000,12622
0,1000,12667
0,1000,12605
0,1000,12631
0,1000,12608
0,10000,0
0,10000,1270
0,10000,1297
0,10000,1294
0,10000,1293
0,10000,1291
0,10000,1292
0,10000,1290
0,10000,1292
0,10000,1293
0,10000,1291
0,10000,1291
0,10000,1291
0,10000,1291
0,10000,1292
0,10000,1284
0,100000,0
0,100000,127
0,100000,128
0,100000,130
0,100000,129
0,100000,129
0,100000,129
0,100000,130
0,100000,129
0,100000,129
0,100000,129
0,100000,129
0,100000,129
0,100000,130
0,100000,129
0,100000,129
0,1000000,0
0,1000000,12
0,1000000,13
0,1000000,13
0,1000000,13
0,1000000,13
0,1000000,13
0,1000000,12
0,1000000,13
0,1000000,13
0,1000000,13
0,1000000,13
0,1000000,13
0,1000000,13
0,1000000,13
0,1000000,12
0,10000000,0
0,10000000,1
0,10000000,1
0,10000000,1
0,10000000,2
0,10000000,1
0,10000000,1
0,10000000,1
0,10000000,2
0,10000000,1
0,10000000,1
0,10000000,2
0,10000000,1
0,10000000,1
0,10000000,1
0,10000000,2
1,0,0
1,0,0
1,0,202403
1,0,211385
1,0,218699
1,0,211879
1,0,221041
1,0,219460
1,0,210514
1,0,216167
1,0,201930
1,0,200719
1,0,203487
1,0,201344
1,0,199306
1,0,194302
1,0,195166
1,1,0
1,1,0
1,1,209565
1,1,218258
1,1,220296
1,1,216956
1,1,222502
1,1,222488
1,1,208264
1,1,221182
1,1,210195
1,1,207661
1,1,208152
1,1,205108
1,1,209368
1,1,203739
1,1,200909
1,10,0
1,10,0
1,10,191063
1,10,194483
1,10,196254
1,10,187373
1,10,198964
1,10,194154
1,10,195816
1,10,195028
1,10,194756
1,10,192060
1,10,199634
1,10,191672
1,10,195844
1,10,197749
1,10,194910
1,100,0
1,100,0
1,100,94429
1,100,96177
1,100,95874
1,100,95678
1,100,95819
1,100,96145
1,100,96657
1,100,96752
1,100,93945
1,100,93029
1,100,95718
1,100,96103
1,100,95540
1,100,95908
1,100,96507
1,1000,0
1,1000,0
1,1000,12157
1,1000,12446
1,1000,12317
1,1000,12447
1,1000,12410
1,1000,12399
1,1000,12398
1,1000,12384
1,1000,12383
1,1000,12381
1,1000,12223
1,1000,12401
1,1000,12387
1,1000,12399
1,1000,12389
1,10000,0
1,10000,0
1,10000,1241
1,10000,1284
1,10000,1277
1,10000,1278
1,10000,1277
1,10000,1277
1,10000,1275
1,10000,1278
1,10000,1276
1,10000,1276
1,10000,1275
1,10000,1275
1,10000,1276
1,10000,1277
1,10000,1274
1,100000,0
1,100000,0
1,100000,124
1,100000,128
1,100000,128
1,100000,128
1,100000,127
1,100000,128
1,100000,127
1,100000,128
1,100000,127
1,100000,128
1,100000,127
1,100000,128
1,100000,128
1,100000,127
1,100000,128
1,1000000,0
1,1000000,0
1,1000000,12
1,1000000,13
1,1000000,12
1,1000000,13
1,1000000,13
1,1000000,12
1,1000000,13
1,1000000,13
1,1000000,12
1,1000000,13
1,1000000,13
1,1000000,13
1,1000000,12
1,1000000,13
1,1000000,13
1,10000000,0
1,10000000,0
1,10000000,1
1,10000000,1
1,10000000,1
1,10000000,2
1,10000000,1
1,10000000,1
1,10000000,1
1,10000000,2
1,10000000,1
1,10000000,1
1,10000000,2
1,10000000,1
1,10000000,1
1,10000000,2
1,10000000,1
2,0,0
2,0,0
2,0,0
2,0,128530
2,0,163222
2,0,150825
2,0,161194
2,0,144027
2,0,133428
2,0,150976
2,0,153209
2,0,137706
2,0,141533
2,0,135258
2,0,151662
2,0,140481
2,0,126648
2,0,152149
2,1,0
2,1,0
2,1,0
2,1,137456
2,1,164568
2,1,153655
2,1,156951
2,1,138782
2,1,149297
2,1,164403
2,1,149064
2,1,141437
2,1,145529
2,1,129972
2,1,163515
2,1,126995
2,1,135780
2,1,150348
2,10,0
2,10,0
2,10,0
2,10,125647
2,10,147781
2,10,145171
2,10,140424
2,10,133737
2,10,142393
2,10,143616
2,10,138523
2,10,143442
2,10,145162
2,10,131847
2,10,142002
2,10,142401
2,10,146028
2,10,136609
2,100,0
2,100,0
2,100,0
2,100,79135
2,100,82581
2,100,80602
2,100,81798
2,100,81226
2,100,81118
2,100,80249
2,100,81990
2,100,82332
2,100,81557
2,100,80475
2,100,82620
2,100,78410
2,100,81061
2,100,80552
2,1000,0
2,1000,0
2,1000,0
2,1000,11879
2,1000,12318
2,1000,12187
2,1000,12204
2,1000,12206
2,1000,12195
2,1000,12200
2,1000,12193
2,1000,12204
2,1000,12212
2,1000,12203
2,1000,12163
2,1000,12286
2,1000,12212
2,1000,12185
2,10000,0
2,10000,0
2,10000,0
2,10000,1049
2,10000,1078
2,10000,1077
2,10000,1071
2,10000,1082
2,10000,1076
2,10000,1074
2,10000,1077
2,10000,1077
2,10000,1078
2,10000,1077
2,10000,1076
2,10000,1076
2,10000,1075
2,10000,1077
2,100000,0
2,100000,0
2,100000,0
2,100000,123
2,100000,127
2,100000,126
2,100000,126
2,100000,127
2,100000,126
2,100000,126
2,100000,126
2,100000,127
2,100000,126
2,100000,126
2,100000,127
2,100000,126
2,100000,126
2,100000,126
2,1000000,0
2,1000000,0
2,1000000,0
2,1000000,12
2,1000000,12
2,1000000,13
2,1000000,13
2,1000000,12
2,1000000,13
2,1000000,13
2,1000000,12
2,1000000,13
2,1000000,12
2,1000000,13
2,1000000,13
2,1000000,12
